id_evento,timestamp,tipo_evento,servicio,usuario,hostname,ip_origen,ip_destino,hora_evento,es_horario_laboral,ip_origen_es_privada,usuario_privilegiado,host_critico,conteo_eventos_ip_ventana,conteo_usuarios_distintos_ip,conteo_hosts_distintos_ip,conteo_fallidos_ventana,servicio_sensible,severidad_inicial,resultado,clase_evento_ml
EVT-ML-0001,2026-06-10T02:57:00Z,ssh_authentication,ssh,backup,srv-web-01,10.10.50.23,10.10.40.12,2,0,1,1,1,3,1,1,4,1,Baja,fallido,fallido
EVT-ML-0002,2026-06-10T17:48:00Z,ssh_authentication,ssh,soporte,srv-app-01,172.16.10.20,10.10.40.12,17,1,1,0,1,3,2,1,0,1,Baja,permitido,normal
EVT-ML-0003,2026-06-10T16:07:00Z,file_access,os,analyst,ws-analyst-07,192.0.2.14,10.10.20.15,16,1,0,0,0,5,2,2,0,1,Baja,permitido,normal
EVT-ML-0004,2026-06-10T11:40:00Z,file_access,os,deploy,ws-analyst-07,10.10.20.20,10.10.30.21,11,1,1,1,0,3,1,2,0,1,Baja,permitido,normal
EVT-ML-0005,2026-06-10T21:35:00Z,network_connection,https,soporte,srv-db-01,10.10.30.21,10.10.20.15,21,0,1,0,1,6,1,2,7,0,Baja,fallido,fallido
EVT-ML-0006,2026-06-10T22:29:00Z,dns_query,dns,root,srv-auth-01,10.10.20.20,10.10.20.20,22,0,1,1,1,31,6,7,21,0,Alta,bloqueado,sospechoso
EVT-ML-0007,2026-06-10T08:10:00Z,dns_query,dns,backup,srv-web-01,10.10.40.12,10.10.50.23,8,1,1,1,1,1,2,2,0,0,Baja,permitido,normal
EVT-ML-0008,2026-06-10T10:21:00Z,network_connection,http,ubuntu,srv-app-01,10.10.40.12,10.10.20.20,10,1,1,0,1,4,1,2,2,0,Baja,permitido,normal
EVT-ML-0009,2026-06-10T13:58:00Z,file_access,os,devops,ws-analyst-07,10.10.30.21,10.10.40.12,13,1,1,1,0,1,1,2,1,1,Baja,permitido,normal
EVT-ML-0010,2026-06-10T06:49:00Z,ssh_authentication,ssh,backup,srv-app-01,172.16.10.20,10.10.40.12,6,0,1,1,1,5,1,2,0,1,Baja,fallido,normal
EVT-ML-0011,2026-06-10T17:28:00Z,network_connection,https,analyst,srv-db-01,192.0.2.44,10.10.20.15,17,1,0,0,1,15,5,2,13,0,Media,bloqueado,sospechoso
EVT-ML-0012,2026-06-10T01:55:00Z,ssh_authentication,ssh,ubuntu,srv-web-01,10.10.50.23,10.10.20.20,1,0,1,0,1,7,4,1,9,1,Baja,observado,fallido
EVT-ML-0013,2026-06-10T09:42:00Z,process_creation,os,ubuntu,ws-analyst-07,10.10.40.12,10.10.40.12,9,1,1,0,0,4,1,1,0,1,Baja,observado,normal
EVT-ML-0014,2026-06-10T09:15:00Z,dns_query,dns,analyst,srv-web-01,10.10.20.15,10.10.40.12,9,1,1,0,1,5,1,1,0,0,Baja,permitido,normal
EVT-ML-0015,2026-06-10T17:10:00Z,dns_query,dns,analyst,srv-app-01,10.10.40.12,10.10.30.21,17,1,1,0,1,4,2,2,0,0,Baja,observado,normal
EVT-ML-0016,2026-06-10T01:34:00Z,process_creation,os,root,srv-web-01,10.10.30.21,10.10.20.15,1,0,1,1,1,3,4,3,9,1,Baja,observado,fallido
EVT-ML-0017,2026-06-10T09:56:00Z,dns_query,dns,analyst,ws-analyst-07,10.10.50.23,10.10.50.23,9,1,1,0,0,1,1,2,0,0,Baja,permitido,normal
